Frame	X1	Y1	Flag1	X2	Y2	Flag2	X3	Y3	Flag3	X4	Y4	Flag4	X5	Y5	Flag5	X6	Y6	Flag6	X7	Y7	Flag7	X8	Y8	Flag8	X9	Y9	Flag9	X10	Y10	Flag10	X11	Y11	Flag11	X12	Y12	Flag12	X13	Y13	Flag13	X14	Y14	Flag14	X15	Y15	Flag15	X16	Y16	Flag16	X17	Y17	Flag17
Tracks 1 to 17
48	265.58008	84.29405	 	1233.7627	119.41456	 	378.9751	144.10536	 	771.8951	159.74692	 	493.6744	182.63954	 	1019.81775	221.9281	 	420.85095	350.51132	 	1091.9448	371.21237	 	892.7418	396.56967	 	110.65493	402.53522	 	1231.2643	559.7525	 	52.0919	565.1636	 	618.23627	703.2033	 	1437.2362	816.1484	 	788.51495	968.6791	 	499.5926	1064.4926	 	861.92145	1074.8214	 
49	265.73907	84.19885	 	1234.1119	119.49685	 	379.38644	144.32417	 	772.14435	159.97699	 	493.87354	182.40273	 	1019.76074	221.88943	 	421.21698	350.3113	 	1091.9672	371.51645	 	893.00824	396.54544	 	110.306335	402.4014	 	1231.5334	559.64044	 	52.054485	564.76605	 	617.9389	703.0229	 	1437.407	816.0	 	788.71924	968.69617	 	499.93283	1064.8694	 	861.90424	1074.8617	 
50	265.87704	84.162766	 	1233.9434	119.54402	 	379.05804	144.51498	 	772.06506	160.06097	 	494.12744	182.58627	 	1019.7007	222.03511	 	421.2159	350.58334	 	1091.8531	371.5396	 	892.9959	396.88617	 	110.2305	402.57446	 	1231.5405	559.80743	 	52.55	564.75	 	617.865	703.154	 	1437.407	816.0	 	788.9091	968.9129	 	500.1037	1064.7815	 	861.92957	1074.5845	 
51	265.57144	84.218895	 	1233.8645	119.755455	 	379.14178	144.27612	 	772.24475	159.98117	 	494.36047	182.44574	 	1019.70807	221.93959	 	421.20676	350.3158	 	1091.7593	371.14645	 	892.78455	396.8821	 	110.32746	402.3521	 	1231.5396	559.3152	 	52.63522	564.80817	 	617.66046	703.1679	 	1437.1316	815.9211	 	788.6818	968.7917	 	499.97583	1064.6227	 	862.0034	1074.4932	 
52	265.3956	84.7645	 	1233.9486	119.45016	 	379.14905	144.41321	 	772.14197	159.9856	 	494.61374	182.46078	 	1019.76843	221.9094	 	421.21536	350.28278	 	1091.6869	371.33606	 	892.67554	397.00204	 	109.95744	402.44327	 	1231.7145	559.7904	 	52.625786	564.98114	 	617.92126	703.51465	 	1437.005	815.91583	 	788.9318	968.9356	 	499.912	1064.8071	 	861.8108	1074.4595	 
53	265.41455	84.66628	 	1233.8665	119.559006	 	378.93774	144.3566	 	771.91394	159.7705	 	494.44617	182.31154	 	1019.98	221.88667	 	421.5186	350.45166	 	1091.5525	371.13934	 	892.3058	396.9876	 	109.941376	402.50345	 	1231.8054	559.77515	 	52.71605	565.0895	 	617.6791	703.24255	 	1437.0714	816.1531	 	788.94104	968.85364	 	499.8283	1064.7867	 	861.76575	1074.6469	 
54	265.6349	84.64186	 	1233.8488	119.138885	 	379.17776	143.8074	 	771.9286	159.60204	 	494.92746	182.05295	 	1019.94147	221.80101	 	421.5818	350.3476	 	1091.7607	371.01157	 	892.79034	396.91934	 	109.91403	402.59824	 	1232.1677	559.71173	 	52.596874	564.71564	 	617.9737	702.9624	 	1437.0408	816.12244	 	788.7955	968.67804	 	499.98303	1064.9529	 	861.9	1074.8572	 
55	265.1111	84.71065	 	1233.7493	119.32019	 	379.19144	144.00557	 	771.9073	159.45564	 	494.92856	182.23413	 	1019.6858	221.92905	 	421.44464	350.44833	 	1091.7887	370.84708	 	892.71313	397.14343	 	109.78819	402.59723	 	1232.1471	559.7778	 	52.698757	564.81366	 	617.9015	702.6752	 	1437.0454	816.2071	 	788.8571	968.718	 	499.49634	1064.9927	 	861.4197	1074.989	 
56	265.1198	84.412445	 	1233.6375	119.07188	 	379.15918	144.28651	 	771.525	159.25417	 	494.93027	182.22112	 	1019.7167	221.70334	 	421.43512	350.1107	 	1091.6309	370.5604	 	892.40686	396.80365	 	110.11268	402.2535	 	1232.2628	559.4359	 	52.67685	564.38745	 	617.6111	702.51483	 	1436.995	816.1733	 	788.8409	968.6856	 	499.4927	1064.9124	 	861.2573	1075.1104	 
57	265.11557	84.43822	 	1233.673	119.201256	 	379.32397	144.0543	 	771.59503	159.09505	 	494.9453	182.30469	 	1019.8576	221.75829	 	421.39435	350.06982	 	1091.7075	370.70407	 	892.54877	396.7195	 	110.13066	402.63242	 	1231.892	559.4967	 	53.0	564.80817	 	617.7214	702.4336	 	1436.9757	816.034	 	788.7928	968.72815	 	499.58923	1065.4702	 	861.4044	1075.2573	 
58	265.19107	84.287186	 	1233.7361	119.201866	 	379.12454	144.17287	 	771.63525	159.05328	 	494.48456	182.25676	 	1019.5987	221.51315	 	421.38678	350.1453	 	1091.3915	370.47287	 	892.25934	397.03113	 	110.151566	402.2282	 	1232.0	559.5367	 	52.829155	564.6818	 	617.99274	702.3442	 	1436.9757	816.034	 	788.73755	968.66095	 	499.39706	1065.4008	 	860.9853	1075.0735	 
59	265.0312	83.80947	 	1233.5249	119.58074	 	379.15918	144.33147	 	771.51666	159.2125	 	494.73227	182.35039	 	1019.6014	222.01013	 	421.79803	350.09216	 	1091.2491	370.83334	 	892.281	397.0372	 	109.705574	402.3223	 	1232.2582	560.0033	 	52.83019	564.6258	 	618.0641	702.40845	 	1437.0339	816.3544	 	788.7814	968.71674	 	499.2963	1065.4333	 	860.97406	1075.0778	 
60	265.2592	84.06881	 	1233.6719	119.725	 	379.09628	144.42592	 	771.228	159.2113	 	494.6647	182.42549	 	1019.7054	221.90404	 	421.67358	350.12265	 	1090.9498	370.80103	 	892.22314	396.8843	 	109.73529	402.38235	 	1232.3647	560.2723	 	52.984375	564.89685	 	618.1377	702.38403	 	1437.0544	816.5	 	788.7748	968.76337	 	499.38147	1065.1666	 	861.1316	1075.2294	 
61	265.5462	84.130486	 	1233.757	119.5805	 	379.0821	144.44403	 	771.3117	159.01465	 	494.8566	182.34883	 	1019.7843	221.93813	 	421.78958	350.17953	 	1091.2134	370.8	 	892.0185	396.8004	 	109.69718	402.32745	 	1232.4742	560.18066	 	53.140377	564.9511	 	618.37134	702.4081	 	1437.1809	816.6702	 	788.82196	968.61743	 	499.4888	1065.0522	 	861.12964	1075.226	 
62	265.5739	84.26212	 	1233.7834	119.92679	 	379.3718	144.77106	 	771.2635	159.01038	 	494.73462	182.60385	 	1020.0067	221.97316	 	421.7293	350.6391	 	1090.8849	370.689	 	892.09515	396.9575	 	109.372795	402.46466	 	1232.7582	560.5817	 	52.78344	565.0796	 	618.1931	702.4242	 	1437.0555	816.9141	 	789.06226	968.3679	 	499.48886	1065.5409	 	861.2578	1075.5156	 
